Title,Price,Link 
Ігрова консоль Xbox Series S 512GB, 14 999 ₴, /uk/shop/pristavki_igroviye_xbox_xbox_series_s.html 
Консоль XBOX Series X 1TB, 23 999 ₴, /uk/shop/pristavki_igroviye_xbox_series_x_1tb.html 
Ігрова консоль XoKo Hey Boy Red (XOKO НВ-RD), 449 ₴, /uk/shop/igrovye_pristavki_xoko_igrova-konsol-hey-boy-chervona-xoko-nb-rd.html 
Ігрова консоль NINTENDO Switch OLED White (045496453435), 15 999 ₴, /uk/shop/pristavki_igroviye_nintendo_switch_oled_white.html 
Ігрова консоль NINTENDO Switch Neon Blue/Red (045496452629), 10 999 ₴, /uk/shop/pristavki_igroviye_nintendo_switch_bluered.html 
Ігрова консоль XoKo Hey Boy Twins Black (XOKO НВ-TW), 499 ₴, /uk/shop/igrovye_pristavki_xoko_igrova-konsol-hey-boy-twins-chorna.html 
Ігрова консоль XOKO Hey Boy 2 Black / Red (XOKO Нb-2-BKRD), 888 ₴, /uk/shop/pristavki_igroviye_xoko_hey_boy_2_blackred_xoko_nb_2_bkrd.html 
Ігрова консоль XoKo Hey Boy Чорна (XOKO НВ-BK), 449 ₴, /uk/shop/igrovye_pristavki_xoko_igrova-konsol-hey-boy-chorna-xoko-nb-bk.html 
Ігрова консоль NINTENDO Switch Lite Grey, 11 499 ₴, /uk/shop/pristavki_igroviye_nintendo_switch_lite_sira.html 
Ігрова консоль NINTENDO Switch Lite Blue, 11 499 ₴, /uk/shop/pristavki_igroviye_nintendo_switch_lite_sinya.html 
Ігрова приставка BRAVIS GC26S, 499 ₴, /uk/shop/igrovye_pristavki_bravis_gc26s.html 
Ігрова консоль NINTENDO Switch Lite Turquoise, 11 499 ₴, /uk/shop/pristavki_igroviye_nintendo_switch_lite_biryuzova.html 
Ігрова консоль NINTENDO Switch Lite Yellow, 11 499 ₴, /uk/shop/pristavki_igroviye_nintendo_switch_lite_zhovta.html 
Ігрова консоль NINTENDO Switch Lite Coral Pink, 11 499 ₴, /uk/shop/pristavki_igroviye_nintendo_switch_lite_koralovo_rozheva.html 
Ігрова консоль XOKO Hey Boy Red (XOKO НB-RD), 435 ₴, /uk/shop/pristavki_igroviye_xoko_interaktivna_igrashka_igrova_konsol.html 
Бандл Ігрова приставка SONY PS5 BluRay + Call of Duty Vanguard, Call of Duty Black Ops Cold War, 23 297 ₴, /uk/shop/pristavki_igroviye_sony_ps5_bluray___cod_vanguard_cod_black_ops_cold_war.html 
Бандл Ігрова приставка SONY PS5 BluRay + Returnal, Farming Simulator 22, Marvel Spider-Man Miles Morales Ultimate Edition, 25 896 ₴, /uk/shop/pristavki_igroviye_sony_ps5_bluray___returnal_farming_simulator_22.html 
Бандл Ігрова приставка SONY PS5 BluRay + Uncharted: Legacy of Thieves Collection, Horizon Zero Dawn Forbidden West, 23 397 ₴, /uk/shop/pristavki_igroviye_sony_ps5_bluray___uncharted_legacy_of_thieves.html 
Бандл Ігрова приставка SONY PS5 BluRay + Ratchet Clank Rift Apart Marvel's Spider-Man Miles Morales, 23 697 ₴, /uk/shop/pristavki_igroviye_sony_ps5_bluray___ratchet_clank_rift_apart.html 
Бандл Ігрова приставка SONY PS5 BluRay + Demons Souls Remake, Ghost of Tsushima Director's Cut, 24 297 ₴, /uk/shop/pristavki_igroviye_sony_ps5_bluray___demons_souls_remake.html 
Ігрова приставка RETRO GENESIS 8 Bit HD Classic (CONSKDN89) + 300 ігор, , /uk/shop/igrovye_pristavki_retro-genesis_8-bit-hd-classic-conskdn89.html 
Ігрова приставка SEGA Retro Genesis 16 bit HD Ultra (CONSKDN73), , /uk/shop/igrovye_pristavki_retro-genesis_16-bit-hd-ultra-conskdn73.html 
Ігрова приставка SEGA Retro Genesis 16 bit HD Ultra (CONSKDN70), , /uk/shop/igrovye_pristavki_retro-genesis_16-bit-hd-ultra-conskdn70.html 
Ігрова приставка SONY PlayStation 4 1ТВ Black + 3 ігри та підпискою PS Plus 3 міс (9702191), , /uk/shop/igrovye_pristavki_sony_playstation-4-1tv-gts-rc-hzd---ps-plus.html 
Ігрова приставка SEGA Retro Genesis 8 Bit Junior (CONSKDN84), , /uk/shop/igrovye_pristavki_retro-genesis_8-bit-junior-conskdn84.html 
Ігрова приставка SEGA Retro Genesis 16 bit Modern Wireless (CONSKDN78), , /uk/shop/igrovye_pristavki_retro-genesis_16-bit-modern-wireless-conskdn78.html 
